name,id,dv,type,path,img
下界疣方块,minecraft:nether_wart_block,0,自然,todo,todo1
诡异疣方块,minecraft:warped_wart_block,0,自然,todo,todo1
菌光体,minecraft:shroomlight,0,自然,todo,todo1
绯红菌岩,minecraft:crimson_nylium,0,自然,todo,todo1
诡异菌岩,minecraft:warped_nylium,0,自然,todo,todo1
玄武岩,minecraft:basalt,0,自然,todo,todo1
磨制玄武岩,minecraft:polished_basalt,0,自然,todo,todo1
平滑玄武岩,minecraft:smooth_basalt,0,自然,todo,todo1
灵魂土,minecraft:soul_soil,0,自然,todo,todo1
泥土,minecraft:dirt,0,自然,todo,todo1
砂土,minecraft:dirt,1,自然,todo,todo1
农地,minecraft:farmland,0,自然,todo,todo1
草方块,minecraft:grass,0,自然,todo,todo1
土径,minecraft:grass_path,0,自然,todo,todo1
灰化土,minecraft:podzol,0,自然,todo,todo1
菌丝,minecraft:mycelium,0,自然,todo,todo1
泥巴,minecraft:mud,0,自然,todo,todo1
石头,minecraft:stone,0,自然,todo,todo1
铁矿石,minecraft:iron_ore,0,自然,todo,todo1
金矿石,minecraft:gold_ore,0,自然,todo,todo1
钻石矿石,minecraft:diamond_ore,0,自然,todo,todo1
青金石矿石,minecraft:lapis_ore,0,自然,todo,todo1
红石矿石,minecraft:redstone_ore,0,自然,todo,todo1
煤矿石,minecraft:coal_ore,0,自然,todo,todo1
铜矿石,minecraft:copper_ore,0,自然,todo,todo1
绿宝石矿石,minecraft:emerald_ore,0,自然,todo,todo1
下界石英矿石,minecraft:quartz_ore,0,自然,todo,todo1
下界金矿石,minecraft:nether_gold_ore,0,自然,todo,todo1
远古残骸,minecraft:ancient_debris,0,自然,todo,todo1
深层铁矿石,minecraft:deepslate_iron_ore,0,自然,todo,todo1
深层金矿石,minecraft:deepslate_gold_ore,0,自然,todo,todo1
深层钻石矿石,minecraft:deepslate_diamond_ore,0,自然,todo,todo1
深板岩青金石矿石,minecraft:deepslate_lapis_ore,0,自然,todo,todo1
深层红石矿石,minecraft:deepslate_redstone_ore,0,自然,todo,todo1
深层绿宝石矿石,minecraft:deepslate_emerald_ore,0,自然,todo,todo1
深层煤矿石,minecraft:deepslate_coal_ore,0,自然,todo,todo1
深层铜矿石,minecraft:deepslate_copper_ore,0,自然,todo,todo1
砂砾,minecraft:gravel,0,自然,todo,todo1
花岗岩,minecraft:stone,1,自然,todo,todo1
闪长岩,minecraft:stone,3,自然,todo,todo1
安山岩,minecraft:stone,5,自然,todo,todo1
黑石,minecraft:blackstone,0,自然,todo,todo1
深板岩,minecraft:deepslate,0,自然,todo,todo1
磨制花岗岩,minecraft:stone,2,自然,todo,todo1
磨制闪长岩,minecraft:stone,4,自然,todo,todo1
磨制安山岩,minecraft:stone,6,自然,todo,todo1
磨制黑石,minecraft:polished_blackstone,0,自然,todo,todo1
磨制深板岩,minecraft:polished_deepslate,0,自然,todo,todo1
沙子,minecraft:sand,0,自然,todo,todo1
红沙,minecraft:sand,1,自然,todo,todo1
仙人掌,minecraft:cactus,0,自然,todo,todo1
去皮橡树原木,minecraft:stripped_oak_log,0,自然,todo,todo1
橡树原木,minecraft:log,0,自然,todo,todo1
云杉原木,minecraft:log,1,自然,todo,todo1
去皮云杉原木,minecraft:stripped_spruce_log,0,自然,todo,todo1
桦树原木,minecraft:log,2,自然,todo,todo1
去皮桦树原木,minecraft:stripped_birch_log,0,自然,todo,todo1
丛林原木,minecraft:log,3,自然,todo,todo1
去皮丛林原木,minecraft:stripped_jungle_log,0,自然,todo,todo1
金合欢原木,minecraft:log2,0,自然,todo,todo1
去皮金合欢原木,minecraft:stripped_acacia_log,0,自然,todo,todo1
深色橡树原木,minecraft:log2,1,自然,todo,todo1
去皮深色橡树原木,minecraft:stripped_dark_oak_log,0,自然,todo,todo1
红树林原木,minecraft:mangrove_log,0,自然,todo,todo1
去皮红树林原木,minecraft:stripped_mangrove_log,0,自然,todo,todo1
绯红菌柄,minecraft:crimson_stem,0,自然,todo,todo1
去皮绯红菌柄,minecraft:stripped_crimson_stem,0,自然,todo,todo1
诡异菌柄,minecraft:warped_stem,0,自然,todo,todo1
去皮诡异菌柄,minecraft:stripped_warped_stem,0,自然,todo,todo1
橡木,minecraft:wood,0,自然,todo,todo1
去皮橡木,minecraft:wood,8,自然,todo,todo1
云杉木,minecraft:wood,1,自然,todo,todo1
去皮云杉木,minecraft:wood,9,自然,todo,todo1
白桦木,minecraft:wood,2,自然,todo,todo1
去皮白桦木,minecraft:wood,10,自然,todo,todo1
丛林木,minecraft:wood,3,自然,todo,todo1
去皮丛林木,minecraft:wood,11,自然,todo,todo1
金合欢木,minecraft:wood,4,自然,todo,todo1
去皮金合欢木,minecraft:wood,12,自然,todo,todo1
深色橡木,minecraft:wood,5,自然,todo,todo1
去皮深色橡木,minecraft:wood,13,自然,todo,todo1
红树林木头,minecraft:mangrove_wood,0,自然,todo,todo1
去皮红树林木头,minecraft:stripped_mangrove_wood,0,自然,todo,todo1
绯红菌丝,minecraft:crimson_hyphae,0,自然,todo,todo1
去皮绯红菌丝,minecraft:stripped_crimson_hyphae,0,自然,todo,todo1
诡异菌丝,minecraft:warped_hyphae,0,自然,todo,todo1
去皮诡异菌丝,minecraft:stripped_warped_hyphae,0,自然,todo,todo1
橡树叶,minecraft:leaves,0,自然,todo,todo1
云杉叶,minecraft:leaves,1,自然,todo,todo1
桦树叶,minecraft:leaves,2,自然,todo,todo1
丛林树叶,minecraft:leaves,3,自然,todo,todo1
